Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Pyrosoma,Firefox 59.0,,2018-04-25 10:01:17,2018-04-25 10:01:40,23.104s,INCOMPLETE
,,,,,,
Test Cases/LoginCondition.Pyrosoma,Firefox 59.0,,2018-04-25 10:01:17,2018-04-25 10:01:40,22.383s,INCOMPLETE
openBrowser,Firefox 59.0,,2018-04-25 10:01:18,2018-04-25 10:01:24,6.387s,PASSED
navigateToUrl,Firefox 59.0,,2018-04-25 10:01:24,2018-04-25 10:01:29,4.136s,PASSED
click,Firefox 59.0,,2018-04-25 10:01:29,2018-04-25 10:01:31,2.372s,PASSED
setText,Firefox 59.0,,2018-04-25 10:01:31,2018-04-25 10:01:33,1.693s,PASSED
click,Firefox 59.0,,2018-04-25 10:01:33,2018-04-25 10:01:33,0.296s,PASSED
setText,Firefox 59.0,,2018-04-25 10:01:33,2018-04-25 10:01:35,1.647s,PASSED
click,Firefox 59.0,,2018-04-25 10:01:35,2018-04-25 10:01:37,2.574s,PASSED
click,Firefox 59.0,,2018-04-25 10:01:37,2018-04-25 10:01:37,0.298s,PASSED
Statement - VarA = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_Sign in to your account/div_Your account or password i)),Firefox 59.0,,2018-04-25 10:01:37,2018-04-25 10:01:38,0.103s,PASSED
Statement - println(VarA),Firefox 59.0,,2018-04-25 10:01:38,2018-04-25 10:01:38,0.004s,PASSED
"Statement - If (VarA == ""Your account or password is incorrect. If you don't remember your password, reset it now."")",Firefox 59.0,,2018-04-25 10:01:38,2018-04-25 10:01:40,2.206s,PASSED
click,Firefox 59.0,,2018-04-25 10:01:40,2018-04-25 10:01:40,0.017s,INCOMPLETE
